,rates
AED,3.903434
AFN,83.784406
ALL,105.683199
AMD,411.808107
ANG,1.914441
AOA,883.135771
ARS,371.99747
AUD,1.654326
AWG,1.910273
AZN,1.7980269999999998
BAM,1.9531049999999999
BBD,2.144861
BDT,117.119517
BGN,1.955333
BHD,0.400596
BIF,3010.646338
BMD,1.062739
BND,1.450699
BOB,7.339942
BRL,5.24802
BSD,1.062244
BTC,4.0818787e-05
BTN,88.306836
BWP,14.462047
BYN,2.6812009999999997
BYR,20829.680169
BZD,2.1412459999999998
CAD,1.43042
CDF,2651.533476
CHF,0.9676239999999999
CLF,0.034575
CLP,954.041511
CNY,7.768724
COP,4235.173466
CRC,570.607388
CUC,1.062739
CUP,28.162578
CVE,110.113082
CZK,24.36961
DJF,189.139053
DKK,7.456903
DOP,60.326203
DZD,146.032045
EGP,32.894498
ERN,15.941082
ETB,58.758481
EUR,1.0
FJD,2.40721
FKP,0.868251
GBP,0.869756
GEL,2.859072
GGP,0.868251
GHS,12.226247
GIP,0.868251
GMD,68.549168
GNF,9121.50128
GTQ,8.354395
GYD,222.24338
HKD,8.308178
HNL,26.18512
HRK,7.454803
HTG,143.223748
HUF,391.334428
IDR,16345.985239
ILS,4.046176
IMP,0.868251
INR,88.325548
IQD,1391.193719
IRR,44890.086238
ISK,145.491867
JEP,0.868251
JMD,164.013717
JOD,0.753904
JPY,158.057919
KES,157.019516
KGS,94.275385
KHR,4371.96818
KMF,490.507394
KPW,956.464906
KRW,1422.242263
KWD,0.32844
KYD,0.8852789999999999
KZT,503.735018
LAK,21399.274963
LBP,15966.37187
LKR,346.045831
LRD,198.092428
LSL,20.074922
LTL,3.137992
LVL,0.6428400000000001
LYD,5.175981
MAD,10.827663
MDL,19.33832
MGA,4822.301498
MKD,61.465479
MMK,2230.722366
MNT,3679.871993
MOP,8.553959
MRO,379.397563
MUR,47.447891
MVR,16.365278
MWK,1150.701598
MXN,18.310192
MYR,4.978962
MZN,67.218175
NAD,20.075758
NGN,829.053054
NIO,38.866378
NOK,11.432466
NPR,141.290738
NZD,1.781814
OMR,0.40915399999999996
PAB,1.062234
PEN,3.983666
PGK,3.866702
PHP,60.31415
PKR,308.716272
PLN,4.59341
PYG,7747.311361
QAR,3.869424
RON,4.967875
RSD,117.27744
RUB,102.190309
RWF,1277.749167
SAR,3.986201
SBD,8.93566
SCR,13.686572
SDG,635.855017
SEK,11.728933
SGD,1.4517600000000002
SHP,1.2930869999999999
SLE,23.869005
SLL,20989.09085
SOS,605.231943
SRD,40.794251
SSP,639.23806
STD,21996.54717
SYP,13817.575716
SZL,19.890558
THB,38.386652
TJS,11.674194
TMT,3.719586
TND,3.349763
TOP,2.538086
TRY,28.915954
TTD,7.20599
TWD,34.160144
TZS,2661.54438
UAH,39.23394
UGX,3999.482083
USD,1.062739
UYU,40.444201
UZS,12972.224833
VEF,3597312.811464
VES,36.012513
VND,25925.512639
VUV,128.707957
WST,2.950394
XAF,655.053251
XAG,0.045145
XAU,0.000552
XCD,2.872104
XDR,0.807186
XOF,655.053251
XPF,119.345535
YER,266.030137
ZAR,19.930818
ZMK,9565.926012
ZMW,22.359941
ZWL,342.201455
